query,search_type,page,affiliation_count
Transverse myelitis,relevance,2,1.0
Trihexyphenidyl,pubdate_desc,1,6.5
Trihexyphenidyl,pubdate_desc,2,7.5
Trihexyphenidyl,relevance,1,1.0
Trihexyphenidyl,relevance,2,1.0
Trusses,pubdate_desc,1,8.5
Trusses,pubdate_desc,2,6.0
Trusses,relevance,1,1.5
Trusses,relevance,2,1.5
Upadacitinib,pubdate_desc,1,4.5
Upadacitinib,pubdate_desc,2,7.0
Upadacitinib,relevance,1,12.0
Upadacitinib,relevance,2,12.5
Urinary Catheters,pubdate_desc,1,4.0
Urinary Catheters,pubdate_desc,2,4.0
Urinary Catheters,relevance,1,3.0
Urinary Catheters,relevance,2,4.0
VEGF signalling pathway,pubdate_desc,1,8.5
VEGF signalling pathway,pubdate_desc,2,9.0
VEGF signalling pathway,relevance,1,5.0
VEGF signalling pathway,relevance,2,4.0
Vasculitis,pubdate_desc,1,8.0
Vasculitis,pubdate_desc,2,2.5
Vasculitis,relevance,1,3.0
Vasculitis,relevance,2,2.0
Viloxazine,pubdate_desc,1,6.0
Viloxazine,pubdate_desc,2,4.0
Viloxazine,relevance,1,4.5
Viloxazine,relevance,2,6.0
Warfarin,pubdate_desc,1,4.5
Warfarin,pubdate_desc,2,7.5
Warfarin,relevance,1,1.5
Warfarin,relevance,2,1.0
Wheelchairs,pubdate_desc,1,5.5
Wheelchairs,pubdate_desc,2,3.5
Wheelchairs,relevance,1,2.0
Wheelchairs,relevance,2,3.0
Wilson’s Disease,pubdate_desc,1,14.0
Wilson’s Disease,pubdate_desc,2,9.5
Wilson’s Disease,relevance,1,1.0
Wilson’s Disease,relevance,2,1.0
Wnt signalling pathway,pubdate_desc,1,6.5
Wnt signalling pathway,pubdate_desc,2,10.5
Wnt signalling pathway,relevance,1,2.5
Wnt signalling pathway,relevance,2,1.0
Xanax,pubdate_desc,1,7.0
Xanax,pubdate_desc,2,8.0
Xanax,relevance,1,1.0
Xanax,relevance,2,1.0
Zonisamide,pubdate_desc,1,3.5
Zonisamide,pubdate_desc,2,3.0
Zonisamide,relevance,1,1.5
Zonisamide,relevance,2,1.5
cAMP-dependent pathway,pubdate_desc,1,8.0
cAMP-dependent pathway,pubdate_desc,2,7.0
cAMP-dependent pathway,relevance,1,1.0
cAMP-dependent pathway,relevance,2,1.0
discrimination,pubdate_desc,1,5.5
discrimination,pubdate_desc,2,5.0
discrimination,relevance,1,1.0
discrimination,relevance,2,1.0
literacy skills,pubdate_desc,1,5.5
literacy skills,pubdate_desc,2,5.0
literacy skills,relevance,1,3.0
literacy skills,relevance,2,4.0
mTOR signalling pathway,pubdate_desc,1,7.5
mTOR signalling pathway,pubdate_desc,2,8.5
mTOR signalling pathway,relevance,1,4.5
mTOR signalling pathway,relevance,2,1.5
neighborhood environment,pubdate_desc,1,5.5
neighborhood environment,pubdate_desc,2,7.5
neighborhood environment,relevance,1,3.5
neighborhood environment,relevance,2,4.0
nutritional status children,pubdate_desc,1,9.0
nutritional status children,pubdate_desc,2,5.0
nutritional status children,relevance,1,2.0
nutritional status children,relevance,2,4.5
partner violence,pubdate_desc,1,3.0
partner violence,pubdate_desc,2,3.0
partner violence,relevance,1,3.0
partner violence,relevance,2,2.5
physical activity and exercise,pubdate_desc,1,5.0
physical activity and exercise,pubdate_desc,2,5.0
physical activity and exercise,relevance,1,1.0
physical activity and exercise,relevance,2,4.5
polluted air or polluted water,pubdate_desc,1,5.0
polluted air or polluted water,pubdate_desc,2,5.0
polluted air or polluted water,relevance,1,1.0
polluted air or polluted water,relevance,2,1.0
public transportation,pubdate_desc,1,5.0
public transportation,pubdate_desc,2,6.5
public transportation,relevance,1,5.0
public transportation,relevance,2,3.0
structural racism,pubdate_desc,1,4.5
structural racism,pubdate_desc,2,4.0
structural racism,relevance,1,5.0
structural racism,relevance,2,2.0
